Actual,0,1,2,3,4,5,6,7,8,9
0,249,26,34,16,5,4,5,0,124,37
1,48,114,80,117,45,11,23,16,19,27
2,8,26,280,30,14,5,10,7,34,86
3,5,63,48,201,53,21,32,29,14,34
4,19,29,47,207,83,10,32,16,20,37
5,15,86,76,134,38,26,39,32,17,37
6,8,52,63,121,52,21,66,27,13,77
7,3,58,52,146,73,19,50,53,14,32
8,53,17,41,13,7,6,9,3,284,67
9,13,16,109,16,17,14,21,8,112,174
