Actual,0,1,2,3,4,5,6,7,8,9
0,320,6,32,6,6,6,2,1,83,38
1,44,142,54,26,44,32,57,48,9,44
2,8,5,362,1,0,3,7,4,20,90
3,8,34,49,71,57,59,72,73,12,65
4,23,21,22,24,157,36,105,53,12,47
5,17,60,44,30,46,88,111,45,1,58
6,14,24,49,10,25,34,203,34,6,101
7,8,37,53,22,48,53,69,127,8,75
8,48,5,40,2,3,3,4,4,325,66
9,16,3,127,0,2,4,4,3,61,280
