Actual,0,1,2,3,4,5,6,7,8,9
0,292,19,37,14,25,4,12,4,49,44
1,16,137,22,73,106,28,27,79,6,6
2,2,6,335,23,9,4,11,22,12,76
3,3,14,17,178,112,22,32,107,5,10
4,8,15,7,73,286,10,38,54,5,4
5,5,43,18,92,104,75,66,88,3,6
6,1,31,16,48,88,38,185,73,1,19
7,2,26,9,77,97,26,25,231,3,4
8,38,5,39,15,24,4,7,10,256,102
9,9,9,93,21,10,6,18,26,39,269
