Actual,0,1,2,3,4,5,6,7,8,9
0,338,12,27,18,20,6,28,11,27,13
1,44,101,17,64,109,14,48,98,2,3
2,4,8,326,21,3,4,16,29,17,72
3,6,14,11,146,127,9,47,132,2,6
4,15,12,2,50,276,6,54,80,5,0
5,10,30,11,85,99,36,94,131,2,2
6,8,11,11,44,77,16,224,105,0,4
7,6,21,6,67,105,9,41,241,3,1
8,88,6,32,17,20,3,12,16,254,52
9,24,7,88,22,8,3,30,37,46,235
