Actual,0,1,2,3,4,5,6,7,8,9
0,363,10,25,7,11,2,8,4,38,32
1,57,173,11,45,95,15,38,57,7,2
2,7,10,306,16,7,2,12,10,21,109
3,12,55,5,141,133,21,32,80,4,17
4,28,27,2,57,301,9,23,36,10,7
5,20,81,9,68,107,56,71,73,2,13
6,17,44,9,49,87,34,201,40,2,17
7,8,56,7,63,114,21,33,184,5,9
8,59,2,21,12,12,2,2,4,306,80
9,23,9,69,15,10,7,16,13,43,295
