Actual,0,1,2,3,4,5,6,7,8,9
0,357,18,19,12,20,10,9,4,37,14
1,50,165,17,18,108,62,29,40,7,4
2,11,30,276,13,9,10,12,7,25,107
3,16,71,10,68,149,73,35,65,2,11
4,27,35,2,27,264,56,46,32,7,4
5,13,85,13,31,114,117,70,45,2,10
6,17,48,7,18,88,101,176,33,2,10
7,7,64,10,28,126,83,41,129,5,7
8,102,14,20,7,17,5,10,4,274,47
9,44,20,65,10,12,15,27,11,63,233
