Actual,0,1,2,3,4,5,6,7,8,9
0,265,20,35,19,5,2,14,15,90,35
1,49,83,66,62,23,15,45,138,6,13
2,7,7,256,24,8,13,27,40,27,91
3,3,17,32,138,14,16,44,207,11,18
4,19,12,21,80,18,7,38,277,12,16
5,9,31,50,109,20,27,68,163,8,15
6,5,9,40,86,18,14,122,161,7,38
7,3,20,28,92,18,23,53,244,5,14
8,64,12,18,17,8,4,29,21,259,68
9,12,4,80,29,5,9,51,35,75,200
