Actual,0,1,2,3,4,5,6,7,8,9
0,312,29,9,18,17,7,12,11,67,18
1,44,170,7,20,124,19,29,76,8,3
2,10,44,240,21,22,13,17,17,35,81
3,13,57,8,70,168,26,40,104,9,5
4,30,33,0,20,306,9,38,50,10,4
5,21,89,7,36,115,54,68,101,3,6
6,17,52,4,30,110,33,144,97,3,10
7,4,63,2,34,147,29,31,183,6,1
8,70,17,12,10,21,4,10,13,277,66
9,19,33,65,21,15,11,39,28,69,200
