Actual,0,1,2,3,4,5,6,7,8,9
0,275,25,31,24,12,10,10,6,94,13
1,39,149,31,79,98,27,25,36,13,3
2,9,16,282,20,25,16,14,3,40,75
3,2,42,23,162,118,27,35,69,16,6
4,16,27,10,148,207,14,24,35,16,3
5,8,89,25,108,98,49,42,64,8,9
6,7,39,21,106,87,46,100,65,5,24
7,3,57,13,110,121,40,29,112,8,7
8,48,20,26,17,21,5,15,7,308,33
9,13,13,92,21,22,18,25,12,109,175
