Actual,0,1,2,3,4,5,6,7,8,9
0,469,7,8,2,1,2,0,0,9,2
1,15,281,4,27,84,18,4,50,13,4
2,13,0,460,0,0,0,0,0,16,11
3,3,19,3,335,78,22,2,33,3,2
4,4,12,4,26,420,11,4,19,0,0
5,2,23,1,43,92,232,39,66,1,1
6,0,9,1,6,59,55,354,11,0,5
7,2,16,0,61,91,22,3,300,3,2
8,43,1,7,2,0,0,0,1,430,16
9,16,0,43,2,0,0,1,1,37,400
