Actual,0,1,2,3,4,5,6,7,8,9
0,487,2,7,0,1,0,0,0,3,0
1,4,404,0,4,34,3,3,45,0,3
2,5,0,487,0,0,0,0,0,2,6
3,2,11,3,399,37,4,0,41,2,1
4,1,8,0,6,460,5,2,17,0,1
5,3,12,0,12,41,351,25,54,0,2
6,0,1,0,0,14,9,472,2,0,2
7,0,9,0,2,21,11,1,456,0,0
8,7,1,5,1,0,0,0,0,479,7
9,3,0,5,0,0,0,0,0,7,485
