Actual,0,1,2,3,4,5,6,7,8,9
0,467,12,4,2,1,3,0,0,9,2
1,8,327,1,12,76,25,6,42,1,2
2,4,0,463,2,0,0,0,0,11,20
3,1,15,0,360,69,26,3,25,1,0
4,2,11,0,12,446,8,6,15,0,0
5,1,14,0,12,48,355,45,25,0,0
6,0,2,0,0,16,28,452,2,0,0
7,0,25,0,18,62,31,3,361,0,0
8,14,6,4,5,1,1,0,1,450,18
9,8,5,2,2,0,2,13,1,16,451
