Actual,0,1,2,3,4,5,6,7,8,9
0,413,12,20,0,0,1,1,0,30,23
1,37,277,1,30,50,9,43,34,5,14
2,2,0,445,2,0,0,0,1,1,49
3,2,32,4,287,55,28,32,50,3,7
4,4,64,0,18,317,17,51,27,0,2
5,2,25,1,29,64,208,127,39,2,3
6,0,14,0,6,29,40,407,2,1,1
7,1,39,0,45,60,60,22,270,0,3
8,27,6,30,0,1,2,0,1,298,135
9,14,5,63,1,0,0,1,0,7,409
