Actual,0,1,2,3,4,5,6,7,8,9
0,391,7,39,7,5,5,2,1,38,5
1,60,41,36,36,180,13,36,48,35,15
2,34,0,386,12,0,2,2,4,21,39
3,4,23,27,99,219,8,44,55,14,7
4,12,13,8,57,347,8,22,21,9,3
5,7,11,26,54,236,28,67,50,11,10
6,2,10,34,64,173,25,137,33,3,19
7,5,23,23,62,215,10,53,100,3,6
8,155,6,50,6,1,1,7,4,228,42
9,48,3,198,4,5,3,14,6,64,155
