Actual,0,1,2,3,4,5,6,7,8,9
0,494,1,3,1,0,0,0,0,1,0
1,8,455,0,0,21,2,1,12,0,1
2,0,0,499,0,0,0,0,0,1,0
3,0,6,0,473,10,5,0,4,2,0
4,1,7,0,1,488,2,1,0,0,0
5,0,6,0,1,12,452,20,8,0,1
6,0,1,0,0,2,9,488,0,0,0
7,1,3,0,6,16,6,1,466,1,0
8,5,2,3,0,0,0,0,0,489,1
9,6,1,2,1,0,0,1,0,7,482
