Actual,0,1,2,3,4,5,6,7,8,9
0,402,12,28,0,1,4,5,3,34,11
1,52,84,18,49,62,32,35,125,11,32
2,17,1,351,6,0,3,1,1,39,81
3,7,24,16,176,71,45,51,81,6,23
4,8,24,4,107,162,52,55,76,3,9
5,7,24,6,87,62,125,93,74,4,18
6,3,8,9,69,37,78,221,40,3,32
7,4,20,6,101,60,53,42,187,3,24
8,97,6,28,2,1,1,3,2,310,50
9,34,4,86,2,0,2,3,8,81,280
