Actual,0,1,2,3,4,5,6,7,8,9
0,499,0,1,0,0,0,0,0,0,0
1,3,490,0,0,1,3,1,1,1,0
2,0,0,498,0,0,0,0,0,0,2
3,1,1,1,495,0,1,0,1,0,0
4,2,2,0,1,490,1,1,2,1,0
5,1,0,0,2,0,485,12,0,0,0
6,0,0,0,0,0,0,500,0,0,0
7,0,2,0,2,2,5,0,489,0,0
8,0,0,2,0,0,0,0,0,496,2
9,1,0,3,0,0,0,0,0,2,494
