Actual,0,1,2,3,4,5,6,7,8,9
0,414,18,11,1,0,0,0,0,53,3
1,12,352,3,28,29,5,12,37,8,14
2,0,0,491,0,0,0,0,0,2,7
3,0,6,13,436,5,9,2,19,3,7
4,0,30,1,10,385,25,16,31,0,2
5,0,4,2,33,17,364,47,28,1,4
6,0,4,0,3,5,31,449,4,1,3
7,0,11,3,47,7,20,2,408,1,1
8,3,0,9,0,0,1,0,0,458,29
9,4,1,93,0,0,0,0,0,36,366
