Actual,0,1,2,3,4,5,6,7,8,9
0,405,19,39,2,1,3,2,1,13,15
1,23,227,1,29,17,28,47,123,3,2
2,4,4,452,2,0,1,2,0,3,32
3,2,32,2,238,25,24,53,118,4,2
4,6,27,1,57,185,24,83,117,0,0
5,3,26,0,32,17,145,156,120,1,0
6,0,10,0,6,8,14,436,26,0,0
7,1,16,0,33,19,22,41,368,0,0
8,28,6,42,4,0,0,2,3,354,61
9,8,7,63,8,0,0,18,3,12,381
